ISBN,書籍簡介
9789860683639,"


不傷腦筋、不NG，

與時俱進，最實務性的商用Email，一貼搞定！

	 

	一封Email的好壞，可能左右合作機會的成功與否？

	或是影響你的前途發展與專業度的提升或減分？

	也可能讓你因此多一位朋友，還是反目？……

	影響之大，你，怎麼能不重視！

	 

	英文Email懶人包，讓你懶得有理、貼得有禮！

	全新範本，不論是在書寫格式、用字遣詞、互動語氣……齊步update，

	讓你同步跟上日新月異的商務溝通模式，同時言簡意賅又不失禮。

	 

	現成的英文信件模板，不論寫信、回信，隨查即用， 

	複製、貼上、替換、寄出，瞬間搞定，

	最能應付職場上多樣化的重要溝通情境，

	業務發展、交易、談判、抱怨、致謝……往來應對游刃有餘。

	 

	有了這一本「英文Email懶人包」，

	從此不必再痛苦、再擔心電子書信開不了頭、回不了信，

	也不必再上網查單字、找句型，

	「英文Email懶人包」讓你在老闆、客戶面前最給力，

	是您最強大有力的商務工具！

	 

˙必備商務情境全收錄

	精準規劃出辦公室或生活中最常用到的完整商務互動狀況，舉凡各領域的拓展業務、商品交易、公告、服務、道歉、致謝、慰問……必要的商務情境一次準備到位。

	 

˙雙向溝通往來無礙

	每一情境皆附兩則有來有往範本，只要照著抄，現貼現用，能寫也能回，Email簡單搞定，工作無往不利，瞬間提升競爭力。

	 

˙專業詞彙同步更新

	商務發展模式愈來愈快速，Email往來的表達方式也要隨著update。全書範例，用詞遣字精準，傳遞訊息最能切中要點、又快又準。

	 

˙信手捻來完美Email

	不必再Google、不必東拼西湊，直接快速複製一篇主旨明確、格式完整、進退合宜、文法正確、用字漂亮、易讀好懂的完美Email，專業加分不出錯！

	 

˙靈活替換句型

	全書提供超過500句的關鍵替換／擴充句，讓你在選用的當下，相對提升對文章的理解程度，更能巧妙因應不同的需求、情境，靈活地替換句型，即使複製Email，內容也能有更多變化。

	 

˙工具＋學習雙效合一

	每一則範例將關鍵字、片語或重點句型用特別色塊呈現，不僅達到提醒作用，亦能幫助加速抓到信件重點。另外，在複製、貼上、替換Email的同時，潛移默化認識／學會更多字彙。

	 

˙QR Code隨掃即用，Email一貼搞定

	全書「Email懶人包」電子檔貼心地收錄在雲端裡，只要複製、貼上、替換、寄出，Email快速完美完成，就是這麼簡單！

"
9789864557325,"


	英語是國際化的語言，也是各行業工作人員要邁向國際化的基本專業核心能力之一。大部分行業的專業領域用關鍵字詞，大約在500 至2,000字詞之間的字詞集。熟悉這些專業字詞集的意義、發音、能唸出來、能拼寫（Reading, Listening, Speaking and Spelling, RLSS），形成一部分生活習慣式、直覺反應式的專業應用工具，輕鬆駕馭這些字詞，能幫助您在專業領域學習、溝通得更容易。

	1.收錄 PVQC 職場專業英文詞彙，專業級約600個、專家級約1,200個，共約1,800個專業領域詞彙。

	2.本類專業字詞庫主要來源：根據相關行業內，全球知名企業在其產品目錄、技術(含維護)手冊或服務手冊、網站信息等常使用之專業詞彙。另一來源則依據該領域之全球知名企業在其應徵或內部工作崗位溝通時，常見的職場核心用詞。

"
9789864777211,"


求職面談 職場溝通 客戶應對 會議進行 提案報告 來訪接待

本書特色

	計畫式學習五大步驟的現學現用紙上操作版
	不只學會英文，還學會如何安排學習的進度
	想要進外商工作的首要參考書
	同時強化聽力與閱讀力
	快速擴充常用英文字彙

	 

5步驟計畫式學習紙上操作版，現學現用﹗

照著標示，快速完成自己的學習進度﹗

"
9789863187547,"

本書專為商務溝通訓練編寫，統整出十大實用主題、57個單元，分別針對求職面試、電話禮儀、會議排程、社交用語、簡報演講、召開會議、閱讀和撰寫商業文件及書信和業務推廣等商務主題所需的溝通技巧，進行全方位訓練。每單元具備會話、例句、聽力練習三部分，幫助循序漸進獲得完整且充足的練習。本書特色1.十大主題豐富多元主題囊括各類商務溝通形式，含商務電話、商務排程、社交、致詞簡報、會議、談判、銷售推廣、職場問題溝通、商業書信、求職十大商務實用主題，有效提升商務英語溝通能力。2.模擬真實商業情境內容設計包括閱讀、對話、文件報告、郵件等，情境豐富，幫助讀者身歷其境，藉由實例獲得專業的英語溝通技巧，並提供重點字彙解釋，協助商務表達更得體。3.彙整商務常用句（More Expressions）彙整商務溝通最常使用的慣用語句，更能充分瞭解各語句適用的時機和情境，幫助靈活運用，說出最專業、最道地的商務英文。4.活用聽力測驗（Listening Practice）每單元後備有聽力測驗，配合單元內容設計相關簡短對話，提供聽力理解訓練，幫助自我評估學習成效。5.搭配圖解輔助說明單元附有圖片輔助說明，以圖解方式呈現，協助理解學習內容，幫助快速理解與記憶。6.英文求職指導教導閱讀英文徵才廣告、履歷撰寫、面試須知等求職必備技能，無論是社會新鮮人或是職場老鳥，皆可參考書中提供的方法做準備，求職面試過關斬將、無往不利！
                    
"
9789864410910,"

要能掌握商場動脈 職場英文超重要要能橫掃全球商場 英語能力不可少商務+社交 全方位 升遷加薪有一套在現今經濟不景氣和全球化的衝擊下，還能和世界保持或建立商業往來，除了公司負責人有長遠的世界觀外，公司裡的職員更應具有專業及相當的英語溝通能力。而相信提升英語能力是許多上班族「長久以來」的自我期許及目標，但卻常因為瑣事繁忙、怠惰或不知從何開始，而讓自己的英語能力在多年後仍毫無起色。其實，在您開始閱讀本文時就離「全方位職場達人」更近一步了！那麼，接下來就趕快了解一下本書的實用內容吧！本書分為四大主題、33個單元，包括：1. 職場英語包含自我介紹、辦公環境、電話英語、網路行銷會議、檢討業績、討論銷售通路時的實用會話、產品發表會及銀行英語等，讓你在面對外國同事、主管或客戶時，都能輕鬆自在的用英語交談。2. 出差英語涵蓋出差或旅遊時必備的機場英語、租車英語、觀光諮詢、飯店英語、餐廳英語及購物英語等，出國時自然開口說英語，到哪都暢行無阻！3. 社交英語此單元教你如何運用「軟實力」讓外賓對你留下深刻印象。其中也囊括商務及用餐禮儀，讓你能在商務場合中進退得宜，有效拓展人脈與業務。此外，我們也告訴你如何掌握餐桌上或球場上成交一筆生意。4. 商務英語不論是詢價、議價、訂貨與下單，或是談代理權和付款條件等，這裡提供專業的商務英語，讓你在外貿洽談時更得心應手、游刃有餘！本書四大特色：特色一：關鍵詞彙或實用句一目了然每個題材單元我們都以一個跨頁圖解或必備句的歸納整理呈現，讓讀者迅速掌握實用的相關詞彙或常用句。特色二：看真人影片學英語 用英語溝通沒問題藉由真人影片對話實際融入各種職場或商務情境，並學習老外的正確發音。不論是要用英語與同事寒暄哈拉、與客戶交際往來或洽談生意，都能透過影片深入學習。建議讀者可以先看電腦互動光碟裡的影片（請在「影片學習」模式下把中英文字幕關掉）來練聽力，還可以運用「角色扮演」功能來練習口說。當然囉，不論書上或互動光碟裡都有對話內容的中英對照可供讀者再細細閱讀並學習。特色三：精解實用片語及慣用語 延伸學習內容豐富多元「重點筆記」中整理出老外對話中常用的詞彙、片語、俚語或慣用語等，並提供例句及相關用法說明。而「延伸學習」內容豐富多元，包括各類圖解、句型整理、實用句或商務禮儀及文化說明，讓您的英語能力與商務知識都能迅速提升。特色四：「24 小時私人家教」點讀筆隨點隨讀 讓學習變得so easy不論是圖解、實用句、單字、片語或情境對話，都可使用點讀筆聽點讀發音。以上是我們精心為您規劃打造的豐富學習內容，跟著我們每天一～兩篇可有效幫助您迅速學習上班族一定要具備的商用英語詞彙與會話。相信在不久將來的你，可以在職場、商場更有信心，更具競爭力！
                    
"
9789864410798,"

隨翻隨學，當場就用得上學好商業會話，真的一點都不難!在全球化的環境，英語已成了積極的上班族不可或缺的職場技能。每一位新鮮人進入職場都會經歷相似的過程，像是員工訓練、人際關係、業務合作，甚至於對外的廠商合作、商務會議等，事前多一分準備，需要時就能派上用場。因此，我們規劃了職場中的大小議題，分成六大主題，包括：職場初體驗、業務與管理、行銷與通路、商務會議通、福利與生涯規劃和小資理財及創業，每個大主題之下再分成三到四個小主題，並且根據不同的情境設計相關的關鍵字彙與關鍵句，幫助讀者用專業的用語與道地的句子來溝通。接下來每個單元皆搭配實境對話，您可以透過影片學習來練習聽力與口說能力，而書上也提供相關的實用句與單字、片語，進一步充實您的英語實力。最後，小編在每單元最後一頁設計了輕鬆、實用的「一分鐘瘋英文」，提供上班族最想知道的字彙與口語用法，學會這些，一定能夠讓您說一口漂亮的英語。本書內容如下:六大主題 上班族一定要會：職場初體驗新進員工訓練、辦公室潛規則、請假英語、打開話匣子業務與管理人事管理、討論排班、業務開發、專案管理行銷與通路異業結盟、節日促銷活動、商展英語商務會議通合約協商、經銷授權、客戶滿意度調查、年度自評會議福利與生涯規劃年終獎金、用對方法談加薪、人員擴編、用英語話離別小資理財及創業談小額投資、信用卡理財、小資創業除了本書之外，隨書附上的電腦互動光碟中有多種功能提供你不同面向的學習。此外，本書亦附有點讀功能，若你已有點讀筆，可將光碟中的檔案安裝至點讀筆中即可使用。
                    
"
9789864540181,"


《英文E-mail拿來就用》全新修訂版
亞馬遜讀者評價第一！
想寫出最精準、零錯誤的英文E-mail？用這本就對了！


 寫出正確無誤的英文E-mail的根本就在於「擺脫中式英文｣、
 ｢不同場合、情況，正確使用基本句型｣、｢靈活運用字彙」

 25個商業主題、650個句型、9900種以上的句型變化
 只要「複製」再「替換」，瞬間完成零失誤、最道地的英文句子！

 還在花費一整個早上就只為了寫一封改了又改的E-mail嗎？
 活用本書！只要幾分鐘就能完成簡潔、清楚表達的英文書信
 工作效率立即提升２００％！

◎ 撰寫英文E-mail，你是不是有這些煩惱呢？

 ◆ 只是要用英文跟對方表達幾個訊息，就要思考30分鐘以上。
 ◆ 聽說讀英文都還不錯，但「寫」英文……好像就是有那麼一點障礙。
 ◆ 拼字很依賴WORD的「自動校正」功能，老是在害怕自己拼錯字。
 ◆ 對動詞時態有點沒把握，哪裡該加「s」、哪裡該用單複數總是要再三推敲。

◎ 學會本書「複製」與「替換」的方法，任何人都能快速正確的完成一封英文E-mail！

 坊間教你寫英文E-mail的學習書，總是強調快速、甚至附上光碟範本，但是卻忽略了英文在不同的情境、往來對象下的不同用法，完全犧牲了英文E-mail應該要有的正確性和精準度。這樣的內容，你真的敢直接拿來用嗎？

 想要寫出正確無誤的英文E-mail就要擺脫「中式英文」！無論你的英文程度有多好，台灣人多多少少都會不自覺地使用中式英文，如果只是跟朋友用英文聊天，文法與拼字犯點小錯也沒什麼大不了的，能順利溝通就好了；但是在工作場合中，尤其是白紙黑字的情況下，這些英文小錯誤可就會讓你丟臉、顯得不夠專業，甚至讓你失去工作上的大好機會！本書收錄的，全都是以老外天天在用的最道地的英文撰寫，絕對不會讓你用到丟臉的錯誤句子或單字。

 25個最常用商業主題，包括詢價、請託、談判、訂購、緊急事件與約定會面等，再搭配650個「常用基本句型」以及豐富的「基礎英文單字」共可排列組合出9900個以上不同的句子。不收錄冗長的長篇大論，以最容易閱讀也最容易上手的方式編排，讓你能夠快速找到自己在不同場合所需要用到的各種句型，輕鬆迅速的為自己量身訂做出一封正確無誤的英文E-mail。

 只要選出最基本的句型與字彙，「複製」使用在最廣泛的地方，並隨各種場合做「替換」，用這個簡單的方法，就能輕鬆寫出一封封「簡潔有力、正確傳達」的英文E-mail！

本書特色

1. 收錄完整範文以及9900種以上變化的實用句型

 ★ 自行選擇「句型」與「字彙」，就是快速寫好英文E-mail的祕密！
 別以為英文寫作書裡的範文可以整篇照抄，對象不同、目的不同，內容當然也要有所修改。本書帶讀者了解E-mail的基本格式，示範開頭問候與結尾寒暄的固定寫法，接下來就以豐富的句型，教導讀者如何依自己的狀況打造出最難寫的「內文」部分，只要使用書中介紹的各種「基本句型」來做變化，就能快速寫出一封簡潔零失誤的文章！

2. 提供多組字彙自行重組，立刻就能靈活運用

 ★ 不必看著長篇範文看好久，卻「不知從哪一個句子開始抄起」！
 你以為寫英文E-mail，一定要背很多句型與單字，才能寫出一篇完整的文章嗎？因為怕寫錯，所以就隨便找了一篇類似的範例「整篇複製貼上」嗎？其實，一個簡單的句子，就可以有很多種不同的變化，在本書中，把這些最好用的基本句型和常用字彙都詳列出來，你只要「用選的」就可以了！

 例如以下這個句子：
 ※我上網看到你的網站。 





I



came across



your



website



online.（此為基本句型。）





     → saw



     → blog



     → on the net.





     → found



     → Facebook page



     → on the Internet.





     碰巧看見，偶然發現
     → stumbled across 



      



      






 立刻就可以看懂「came across」的部分可替換成「saw / found / stumbled across」；「website」的部分可替換成「blog / Facebook page」；「online」的部分可替換成「on the net. / on the Internet.」。其中，「stumbled across」這個字較困難，上方會加註中文翻譯「碰巧看見，偶然發現」，不必費心查字典，看一眼就能夠讀懂。

3. 最常使用的25個商業主題，細分為160個狀況與目的

 ★ 詢價、下訂單、申訴、致謝等各種場合的句型都可以馬上套用！
 每天都需要用英文收發信件的上班族，能夠快速知道「那句英文該怎麼說」最重要。本書的目錄鉅細靡遺，將25個主題進一步細分為更多的子項目，例如「致歉」的篇章分為「為造成對方不便．困擾致歉」、「為延誤致歉」、「為無法解決的問題致歉」、為錯誤致歉」等七個小單元，讓你查詢更快速，書信內容也更精準。

4. 
"
9789864415557,"

涵蓋職場12大課程，商用英語初學者必備●內容涵蓋各類實用的職場與商務英語，包括接待訪客、電話英語、請假與代班、籌備會議、開視訊會議、寫E-mail、出差、與客戶洽談、議價等，教您用簡單的字彙與片語，就能和外國同事、主管與客戶溝通往來。●搭配實景會話影片、商務書信範例及多樣化的練習題型，全面鍛鍊職場英語聽、說、讀、寫的能力。●每單元針對課程內容設計擬真多益試題，提升商業英文競爭力。全新增修版與前版差別●新增加2個單元，變成12個單元。●原來10個單元針對時事再做單元調整。
                    
"
9786263000414,"


精確掌握簡報起承轉合

活用超上手英文簡報金句

打造英文流暢、版面吸睛的簡報

職場必學、學涯必備！

讓你驚豔全場，成為魅力英文簡報專家！

	　

	精彩的英文簡報是事業和學術成功的敲門磚！

	 

	簡報仰賴良好流暢的口語表達能力，本書專為英語學習者設計，按簡報準備步驟，羅列豐富的例句與範例，並搭配視覺圖像與擬真情境，只要多加練習靈活應用，上台做簡報時就能準備充分而從容揮灑，克服緊張失憶，擺脫怯場結巴，發揮個人魅力，令人刮目相看，成功贏得觀眾芳心！

	 

本書特點

	 

	●詳盡步驟循序漸進：從事先準備、開場白、正式進入簡報、論點總結，到聽眾提問等大小環節，幫你規劃出一份主題明確、內容充實、分析完善的成功簡報！

	 

	●例句豐富：標出重要片語並中英對照，精準呈現簡報時可使用的語句，掌握簡報節奏，讓你在各簡報場合和關鍵時刻都暢所欲言，絕不冷場！

	 

	●範例多而擬真：包含大量圖表和投影片解說，實際配合簡報情境，學會掌握視覺輔具，讓觀眾迅速領會簡報主旨。

	 

	●彩圖頁面清楚易吸收：版面以活潑輕鬆的方式編排，讓學習充滿趣味；同時用彩圖輔文，將文字具象化，易於快速掌握整體概念。

	 

"
9789864415519,"

精通英文商業寫作，強化商務英語溝通力！遇到講求特定格式、修辭、句構和習慣用語的英文商務書信，總會有「寫」到用時方恨少的無力感嗎？別擔心，本書能幫你擺脫總是寫出職場囧英文的行列。本書分為【寫作入門篇】、【人事行政篇】、【工作業務篇】、【社交公關篇】以及【貿易往來篇】5大主題。【寫作入門篇】帶你熟悉商務 e-mail 的結構、稱謂／敬語、內文格式、起頭句和結尾句，讓你打下商業寫作的基礎。【人事行政篇】、【工作業務篇】、【社交公關篇】及【貿易往來篇】則依照使用情境，各收錄9種實用商務書信，涵蓋共36個單元。每個單元精選1-2封範例信，並搭配主題詞彙、重點句型、寫作要點和翻譯練習等學習元素，以深入淺出的方式，有效強化你的英文商業書信寫作技巧。
                    
"
9789862489260,"


職場上會用到的英文，比你所想的還要多！

本期EZ TALK 總編嚴選

從會話到書信，從聽、說、讀到寫

5大職場情境好用句╳2大職場必備寫作技巧

全面進化職場英文力

	 

	2020全球疫情爆發，加速職場多面向轉型，如WFH、宅經濟興起等，本期雜誌整合國內外職場最新情勢，並整理Teleconference English等疫情下新興的實用對話與句型。

	 

特色1 從找工作、進入職場，到進階職場英文，本書皆網羅！

	踏入職場前的履歷表撰寫及全英文面試應答，初入職場的電話英文與開會英文，到獨當一面的簡報英文與商務書信，本書通通網羅。除了常見的對話情境，也提供各種主題的email與履歷範本，從聽說到讀寫，全面進化職場英文力。

	 

特色2 職場上最常見的情境對話句──主題式整理，隨翻隨用！

	職場最常遇到的英文會話情境：「面試官會問的問題」「10句電話英文／開會英文／簡報英文」只要打開書本，對照情境，就能馬上說出合宜的句子！每篇對話下方拉出關鍵句，提供更多說法，讓你應付職場上層出不窮的各種狀況。

	 

特色3 用Email討價還價、催進度、回客訴──範文與好用字句，輕鬆套用

	想到用英文回信就頭痛嗎？該如何用Email跟客戶溝通協調？收到客訴該怎麼回才不失禮？開會的會議記錄怎麼寫？各種Email常遇到的棘手情境，本書皆提供範例書信，與更多關鍵句寫法，快速提升英文實力。

	 

特色4 「職場充電站」「英語補給站」實用小單元，職場力與英文力同步提升

	「職場充電站」補充職場相關知識，如「撰寫履歷準則」「視訊APP比較」，「英語補給站」則是幫你釐清混淆字、補充主題單字與進階英文用法。

	 

特色5 哈啦也是必備職場技能！用英文跟同事哈啦，增進人際關係

	除了上班用英文，用英文哈啦也是職場必備基本功！不管聊疫情、政治、八卦、股票、健身還是聊小孩，這本書都能幫你順利開口！

	 

"
