ISBN,書籍簡介
9789865534417,"


今天來畫點什麼好呢？
打開iPad，配上放鬆的心情，一起畫出你的幸福日常！
創作者最推軟體Procreate x 零基礎新手友善 x 療癒繪師專業示範

	 

	軟體介面介紹 / 人物構圖與上色 / 詳細步驟拆解 / 筆刷用色標示 / 實用技法公開 / 各式風格示範
	用16堂課學會iPad電繪，記錄生活中的美好時刻！
	 

★人氣插畫家YUANCHI第一本iPad繪圖教學書。
★不管是繪畫零基礎還是手繪轉電繪，都歡迎加入！
★創作者最愛用繪圖軟體Procreate，介面簡單乾淨，功能齊全，上手快速。
★從Q版到寫實畫風，從基礎練習到技法應用，只要跟著繪師step by step，輕鬆完成作畫！

	誰說iPad只能用來處理公事、打遊戲和追劇？其實它不只是你的工作、娛樂夥伴，更是你的創作紓壓好朋友！它就像一張隨身攜帶的畫紙，只要再配上軟體的各式筆刷和功能，不需要準備其他工具，靈感來了讓你走到哪畫到哪！從熟悉軟體開始，插畫家YUANCHI帶你了解Procreate介面、筆刷、圖層等實用功能操作，並蒐集網路上電繪練習生們最常見的問題，將繪圖步驟拆解，附上詳盡的解說。不只讓你從笑臉開始，一步一步畫出各式可愛表情、髮型、Q版人物，連最難掌握的骨架比例、光影、手腳畫法也能一學就會。加上服裝質感、背景上色技法等示範，只要跟著一起練習，你也能完成精緻漂亮、充滿暖心風格的插畫！現在就拿起iPad，我們一起享受畫畫吧！

	 

	邊看邊畫，你也可以畫出：
■ Q版卡通臉
■ 文青似顏繪
■ 細緻全身人物
■ 任何你想畫的角色與人物！

	 

"
9786263047891,"


	教你使用CLIP STUDIO PAINT PRO學習電腦繪圖的基本技巧！

	動畫上色、筆刷上色、灰階畫法，「上色」基本技巧的詳細解說！

	 

	範例插畫、各式筆刷等素材皆可下載取得。

	一步步詳細解說選色、筆刷、圖層混合模式等必要設定。

	完整公開專家繪製角色的上色過程！

	 

	另收錄漸層對應的上色手法!!

	 

	從CLIP STUDIO PAINT PRO的上色準備，到使用動畫、筆刷、灰階、黑白等各種上色法來描繪角色……

	只要有這本書，就能學會職人級的上色技法！

"
9789573281788,"


★專為台灣讀者設計步驟式示範教學
★涵蓋18種技法，清楚詳盡
★附錄說明如何取得認證教師資格

台港星馬最知名的禪繞畫老師----蘿拉老師
教你如何學會畫源自日本的和諧粉彩藝術
只要20分鐘
你會發現原來畫畫這麼簡單有趣又美麗！

	蘿拉老師在本書中用最清楚易懂的方式，帶領讀者認識「和諧粉彩」這項連美國禪繞認證教師都為之驚艷的簡單藝術，進入粉彩畫的美麗天地。
	 
	和諧粉彩（Pastel Nagomi Art）是15年前由細谷典克在日本創辦，主旨是希望藉由人人可以畫出的粉彩藝術，帶給人們心靈和諧平靜，在面臨壓力時，有一小段忘卻煩憂的時光，並對未來抱持希望。
	 
	曾經細谷先生畫了一幅春天櫻花和綠樹的粉彩作品，帶到醫院送給一位重病的朋友，然後細谷先生告訴友人說：「希望明年櫻花盛開的時候，我們一起到櫻花樹下喝杯茶。」這句話點燃了病患的希望，真的得以在第二年一同與細谷先生賞到櫻花。
	 
	蘿拉老師於2015年透過美國禪繞認證教師得知這項簡單美麗的藝術後，於2017年6月正式邀請和諧粉彩創辦人細谷典克先生來台傳授與認證，目前台灣已有20位正指導師，百餘位學員體驗過。
	 
	本書首先介紹和諧粉彩的由來、使用的工具、用紙等。接著以步驟教學方式，示範完成一幅作品的各項基本畫法。接著蘿拉老師示範18種和諧粉彩的繪畫技法，包括疊色、推色、型版製作等，讀者可以以此為基礎，發展更多屬於自己的創意畫法。
	 
	書中還介紹了和諧粉彩與其他繪畫藝術的結合，例如以黑白為主的禪繞畫，搭配繽紛色彩的粉彩畫，就開啟了更富創意的表現形式；或者將手作卡片、著色畫搭配粉彩畫的方式，創造新的呈現風味。最後書中收錄多幅和諧粉彩正指導師的作品，供讀者欣賞與觀摩。
	 
	本書附錄則詳盡說明，如何成為準指導師與正指導師的認證程序，並提供讀者課程與訓練營的各項資訊。
	 
	和諧粉彩是不分男女老少，每個人都能輕鬆上手的藝術，畫法簡單卻柔和美麗，只要願意動動手指開始畫，都能立即獲得成就感與幸福感！

關於和諧粉彩

	和諧粉彩(Pastel Nagomi Art) 源自於日本，由細谷典克先生在2002年創辦，並且成立「日本粉彩希望協會」（Japan Pastel Hope Art Association），簡稱JPHAA。主要活動是培育並且認證準/正指導師，在全球推廣和諧粉彩藝術。
	 
	細谷先生原先在銀行界工作，本身是藝術愛好者。有感於日本社會有許多人面臨壓力，產生憂鬱症並且輕生的案例越來越多，於是他在日本創辦了協會，希望藉助簡單有趣的藝術，透過指導師提供一個舒心安全的作畫空間，讓學員有一段忘憂的繪畫時間。
	 
	細谷先生相信透過人人可以辦到，簡單美麗的粉彩藝術，可以帶給人們豐富的心靈，以及健康的社會環境。這就是他創辦日本粉彩希望協會的初衷。同時，為了讓每個人都能玩得起粉彩藝術，細谷先生採用最樸實的文具與材料。
	 
	和諧粉彩藝術在日本已創辦了15年，創辦人秉持個人親自教學的習慣，不接受採訪，沒有設立社群媒體，沒有出版品，也沒有線上教學。15年來持續教學，5000多幅作品全都收藏起來。

"
9789863776949,"


～實力派動畫家‧村田峻治，第二彈作畫資料集華麗推出～

為ACG產業量身打造，硬派風格的手繪線稿專書

	 

	手槍並非一般人的日常生活用品，但是以推理、刑偵、黑道、諜報特務為題材的影劇或動漫遊戲作品中，手槍卻是不可缺少的道具。

	 

	本書以美軍長年的制式手槍，同時也是歷來產量最多、後續衍生多種型號的「M1911」為主，介紹各種可供作畫參考的槍械線稿圖片。

	 

	書名的「GOVERNMENT FANATICS」，是源自M1911民用型號的名稱「GOVERNMENT MODEL」（政府型），「FANATICS」則是有「瘋狂信徒」、「狂熱」等意思。換句話說，這是一本由槍械愛好者所寫，也為喜愛硬派風格的讀者與繪師所著的書籍。

	 

	本書的成書目的，旨在漫畫和動畫的設定參考資料集，因此特地以線稿的形式刊載，清楚且有效展示槍枝的造型細節。

	 

	書中以各款知名手槍型號為經緯，分門別類專章解說單一槍械，並且搭配圖解示意圖，不遺漏任何一處細部構造。同時也以專欄形式，補充該手槍型號的演進過程。

	 

	期望本書能成為實用可靠的動作場面參考資料集，助有志投入動畫產業的繪師群一臂之力。

	 

本書特色

	 

	◎實力派動畫師的遺世之作，以知名槍械為主，專書講解手槍的繪製技巧。

	◎全書收錄手繪線稿，展示不同角度、細部構造，以及槍枝上的刻印文字，輔以詳實的介紹。

	◎專章圖解持槍的姿勢與動作，示範正確的作畫場景。

	 

"
9789865116583,"


	本書是介紹如何使用iPad和CLIP STUDIO PAINT繪製漫畫的入門書，專注於基本功能和項目，即使是初學者也可以毫不費力地開始畫畫。
	由在藝術大學任教十年以上的青木俊直老師親自授課，讓你不受場所限制，用iPad搭配CLIP STUDIO PAINT EX的APP就能輕鬆畫漫畫。
	只要有iPad+ApplePencil，無論在哪都能動筆，你也來試試看吧！

"
9789579072700,"


百年刺青傳說現形！

	 

不只有殭屍男孩、蕾哈娜、女神卡卡、重金屬樂團
更多史上無敵任性的奇人軼事
這群人，人生只追求一個「酷」字！

	 
	告訴你地表最強刺青冷知識
	┼ 歐美、日本、流行文化中的超級神人
	 
	400張全球博物館、刺青師罕見珍藏，首度曝光
	超吸眼球、無敵豐富的紙上刺青大展
	 
	從可愛復古到叛逆時尚
	看看別人，怎麼刺，才夠酷？
	為刺青圖樣找靈感的最佳工具書
	 
▌不再只於地下流傳，百年刺青傳說現形！
	 
	從「殭屍男孩」Rick Genest的絕響叛逆刺青美學，他身上多達176個昆蟲刺青與131個人骨紋身，到蕾哈娜身上20處引領流行的風格刺青，以及從16歲生日起就刺不停的小賈斯汀，熱衷刺青的不只他們，更有保持半邊正常的女神卡卡、貝克漢、強尼˙戴普、歌手艾美˙懷斯、重金屬樂團、哈雷騎士，等等，故事還沒說完……
	 
	19世紀末，最夯刺青的原來是歐洲皇室貴族？100多年前，第一位受封「全世界刺青紋得最美的男人」，竟長得像文青紳士？英國富家女為何任性將21歲的生日大紅包全拿來刺青，只為成為金氏紀錄保持人？從丘比娃娃到泰迪男孩，百年來究竟流行過哪些經典刺青圖樣？20世紀初，馬戲團畸形人的空缺，全靠刺青人頂起來？
	 
	刺青狂人有多狂？竟曾經公開聲明，歡迎死後競標他的刺青腦袋？俄國受刑犯有多不爽，看看他們身上的刺青宣言：「賠償我被搞砸的青春」就明白。刺青的日本男人最重情義？從黑道大哥、建築工人和消防隊員，都是日本刺青大師的主客戶。刺青圖案充滿密碼，ＦＴＷ、數字13、Ｍ、1％，不懂別亂紋，其中暗藏什麼樣的反社會意義？……每一幅刺青，都是一個奇人故事，讓你大呼：「驚呆了！」
	 
▌超級英雄穿緊身衣，他們刺青！
	 
◎被烙上「奴隸」印記的神鬼戰士

	刺青一直是禁忌。在羅馬，當不安分的奴隸或囚犯身上被烙上「不名譽的標記」，「刺青」這項藝術的驚心動魄英雄旅程從此開端。
	 
◎最美刺青之男 VS 最強刺青之女

	20世紀初，「無痛」傑克‧泰倫的全身刺青驚天動地，並受封成為「全世界刺青最美的男人」。艾琳‧伍德沃身為第一位以展示身上刺青來維生的女性，則對觀眾吹了一個真假難辨的牛：她說自己是為了躲避美洲原住民的熱烈追求，才在身上紋了這麼多刺青！
	 
◎用刺青逃避兵役的惡棍英雄

	美國海軍曾公開聲明拒收身上紋有低級猥褻刺青的新兵。有些年輕人會故意在身上紋裸女逃避兵役，成了戰爭期間口耳相傳的軼事。不過後來刺青師與軍隊聯手，紛紛為年輕人身上的裸女圖「添新衣」，將這些聰明鬼通通抓回軍隊！年輕人，終究是年輕人。
	 
◎英雄不流淚，打輸也要為自己的腫臉美容一下

	有別於現今開在鬧區光鮮亮麗的刺青店，二十世紀前半這些店大多座落於破落地段，甚至常與理髮店共用一個店面。水手們可以在理完髮後花光剩下的薪水，增添身上的刺青；與人鬥毆臉上留下瘀青的工人，也能在此處找到「消除瘀青眼」的服務，讓水蛭爬上眼吸取瘀血，好遮掩他們好鬥的痕跡。
	 
◎我不當人啦！啟發《星際大戰》反派大魔王的刺青

	瑞斯‧萊德勒從一次大戰退役後，決意投身表演事業，沒沒無名收入微薄。當他決意找來刺青師在全身紋滿「粗線條斑馬條紋」、改名為「大歐米」後，這款令人震驚的人體刺青，火速風靡全球，連《星際大戰》裡的刺青狂人達斯魔都受其啟發。
	 
◎高價買下我的腦袋吧！但我精神永存

	雅各‧凡定的腦袋瓜紋滿了宛若遊樂園般的繽紛刺青，但他的成長背景可絕不歡樂。他曾在惡魔島監獄與星星監獄等各大監獄服刑，且曾為軍火走私犯艾爾‧卡彭賣命。一天，他公開要大家競標自己這顆滿是刺青的腦袋，讓他登上了新聞頭條……
	 
◎我是女性主義者，我刺青

	選美大賽是邪惡資本主義的糖衣？貝蒂・布洛本打算以紋有超過560個圖樣的身體當作她的「選美單鬥服」，參加電視選美秀！挑戰社會、挑戰男性、挑戰審美，如此強悍讓她成了女性主義的神級人物。
	 
◎你就到監獄裡好好反省吧！

	俄國監獄的受刑人拒絕反省！當他們在臉上刺青，就代表他們放棄下半輩子重返社會的機會，常常能在他們的眼皮上見到「別喚醒我」的字樣。刺青師在眼皮上紋字前，會先在薄薄的眼皮下墊入金屬湯匙，以防刺到眼球。
	 
◎別再問了，那是我丈母娘

	重金屬歌手Ozzy Osbourne胸前表情猙獰的骷顱頭刺青，是1970-80年代重金屬樂手最火紅的標誌，被問到刺青代表的意涵，Ozzy Osbourne直接了當地回答：「那是我丈母娘。」
	 
◎永遠的戀人，成了永遠的酒鬼

	強尼˙戴普身上最聲名狼藉的圖樣，是他刺在右手臂上的「Winona Forever」（永遠的薇諾娜），當他跟同是演員的前女友薇諾娜˙瑞德分手後，這個字樣就被改成了「Wino Forever」（永遠的酒鬼）。
	 
▌怎麼刺，才夠酷？跟前輩學學
	 
	根據福斯新聞在2014年3月進行的民調顯示，全美約有20%的人口有刺青，與2007年相較成長了13%。如今，刺青是彰顯個人風格的重要標誌，我刺青，我存在。
	 
	本書由英國熱愛流行文化的記者David McComb撰寫，深入相關主題20年，將刺青文化的時間軸，以無敵豐富的400張圖像貫穿全書，選出最精彩的時代影像和檔案資料，講述百年來刺青人發生了什麼事，創造了什麼樣的歷史。全書珍貴影像，由專業圖像編輯Tom Broadbent精心挑選，遍尋收藏家、檔案室、藝術家、代理商手中的珍藏寶貝，選出超級難得一見的歷史鏡頭和完整豐富的刺青圖樣，絕對值得珍藏。
	 
	原書名：《刺青。流行百年：「刺」文化圖像史 1914-NOW(18禁)》

"
9789863831082,"


流動畫✕無框創作=無局限、無草稿，
	一混色、二隨手倒、三搖動畫板讓顏料流動，
	超簡單、最自由的繪畫方式，日常就能輕鬆操作，
	顏料倒下的瞬間，沒有失敗對錯，只有流動出的獨一無二！


	流動畫又稱流體畫、潑灑藝術、流體藝術，是將壓克顏料、水、助流劑攪拌均勻後，將調好的顏料任意倒在畫布上隨意的流動，或運用各式技法、工具製作出各式作品，因為創作過程簡單且療癒，也不須繪畫基礎，只須隨著自己的心去創作，人人都可以是藝術家！

	流動畫不止可以在畫布上製作，也可以在木質媒材、書籤、盒子、時鐘、麻布袋等各式媒材上外，也可以製作在鑰匙圈、項鍊等飾品上，讓藝術更貼近生活！

☑流動畫的無框架美學
	不用繪畫技巧，沒有固定框架，沒有絕對的美醜，只有當下壓克力顏料流動出來的唯一樣貌，讓你自由創作，無拘束！

☑讓你的生活充滿流動畫，到處都是你的畫室！
	流動畫使用的壓克力顏料，可以運用在各式媒材上，包含書籤、盒子、時鐘等用品，讓你生活中充滿著個人的流動畫美學！

	＊附「主構技法」動態影片QRcode

本書特色

✲流動畫基本技巧×變化應用
	倒扣法、刮畫法、繩拉法等各式流動畫技巧運用，讓你除了將調好的顏料倒入外，運用其他工具，讓你玩出不同模樣的美感！

✲主構動態影片×作品圖文步驟
	別擔心失敗，更別擔心看不懂，書中附主構技巧動態影片QRcode，讓你掌握基本後，再進階操作變化應用，帶你靈活應用不NG。

✲運用壓克力顏料的流動，讓你無拘束繪畫
	當掌握各式技巧應用，再進階製作各式用品，讓你激發出各式靈感，並在流動畫的世界中享受，各種在流動中，創作出的各式美學。

"
9789578548770,0
9789579420266,"

噴畫技法
　噴畫不旦具有均勻柔和無筆觸的效果，而噴繪於任何物體的表面，因此在今日已被廣泛應用於多種媒體上。

　專業噴畫家何慎吾有鑒於噴畫對現代生活的日益重要，且學習者日益增多，於是將他累積多年的噴畫實務經驗加以系統化，撰寫成書，俾使初學者能藉明晰的文字和示範圖片而學得噴畫技巧與要領。

　全書不僅將噴畫器材與操作要領詳作說明，在技法方面，更強調循序漸進的學習過程，由點線面的表現，而進入難度較高的技巧。於示範篇中，作者巨細靡遺的步驟解說配合著生動的分析畫面，真正的達到以圖解文的公用。
作者介紹
何慎吾

　任職興台彩色印刷公司，因工作需要而接觸噴筆器材，進入藝園文化事業公司從事圖片噴修，兼助理設計與攝影，參加由國華廣告公司舉辦之第一屆中日噴畫展。
                    
"
9789570359725,"

彩繪讓你的生命發光！‧本書最大的特點就是介紹非常詳細，包括木器、瓷器、玻璃、織品、鐵器、蠟燭等，都有詳細的分解步驟介紹，就算是沒有學過彩繪基礎的入門者，只要先將筆法練習掌握清楚，就能輕鬆畫出書中所介紹的各種主題。‧利用家中容易取得的玻璃、陶瓷、木器等素材，甚至是織品或鐵器都可以，只要加上簡單的彩繪技巧就能創造出一番風貌，不論是當做飾品擺飾或是贈送親友，都別具風味。‧豐富的圖稿介紹，簡單好看的花型與風景圖案，就等你動手來彩繪，讓你的世界發光起來吧！
                    
"
