ISBN,書籍簡介
9789865915919,"


獨創「氣功」、「舞蹈」複合式養生功法
 接收宇宙能量，促進身心靈自然療癒


隨書附贈  元炁舞示範DVD

 來自宇宙的能量舞，擷取「天人舞姿元素」與「太極能量符號」，同時兼具「舞蹈」與「氣功」的養生功效，融匯而成為複方的養生功法，對於身心靈的和諧、修復和疾病的預防，以及病中、病後的修復保健皆有助益。

 近年自然醫學界正在提倡一種較新的運動概念－－「螺旋結構原理的運動」，亦稱「迴旋運動」，對於修護、復健有所助益俄國的專家學者對氣功與物理機制有深入研究，發現物體自旋所導致的時空扭曲會產生撓場，與中國人感覺到的「氣」相關。氣場會與一些特殊的形狀或符號如螺旋、八卦產生交互作用，導致氣的匯集與作用。

敦煌能量舞之三大功效

 （一）旋轉能量：修護細胞、自我療癒
 （二）促進腦內啡分泌：喜樂能量、轉化憂鬱
 （三）延緩老化：青春延齡

本書特色

 1. 全彩圖文對照，並附贈教學光碟，即使沒有老師親授上課，也可以在家自學。

 2. 醫學、科學界專業人士專文推薦。 

"
9789576818660,"


	本書的編寫是根據古典舞身韻體態及動態韻律的特點，按照長穗劍的運行軌跡及動律，對劍法、穗法、典型舞姿等基本概念進行闡述和分析。在講解說明時，統一使用古典舞身韻專業術語。書中歸納的劍法和穗法，是依據劍與穗之間你行我走、相互連帶的多種關係、特點，以及具有訓練價值和教學意義的內容歸納整理出來的。

	書中的主要劍法、穗法是指在古典舞身韻中具有較強的「以器練身」訓練作用，其他為輔助劍法、穗法。而其典型舞姿是根據穗法特徵，依據劍穗在肢體不同位置時運用的技法，並結合古典舞舞姿編制。

"
9789577357212,"


	中國是一個多民族國家，各個民族都有著能表現本民族特色的舞蹈藝術形式。舞蹈教材不可能將五十六個民族的舞蹈都納入其中，而是要從中選擇典型性，代表性和訓練性較強的民族民間舞蹈作為課堂教材。作為地方舞蹈院校的民族民間舞訓練的著眼點，則應是以突出本地區的民族民間舞為主，以其他民族具有代表性的民間舞蹈教材為輔，構建具有地方特色的，科學的，系統的民間舞教學體系。

	遼寧省居住著數十個民族，其中以漢族、滿族、朝鮮族、蒙古族居多。這些民族都有著非常豐富的舞蹈藝術形式與文化，它們是各民族寶貴的藝術財富和精神食糧，是中國民族藝術的精粹，也是遼寧省具有代表性的民間舞蹈。對此，本書在選題上確定了以東北秧歌和滿族舞蹈為主，以朝鮮族和蒙古族舞蹈為次的原則，整理和選編了適應於遼寧省舞蹈教學的民族民間舞教材。

	中國民族民間舞教學，是按照民間舞蹈專業的教學規律、特徵和培養目標，建立起的中國民間舞的教學模式。它具有豐富完善的舞蹈教學內容，科學的教學方法和掌握這些教學內容進行施教的教師隊伍。從中央到地方，這些教師不但為民間舞教學的建設做了大量的工作，而且為中國培養造就了許多優秀的民間舞蹈藝術人才。

	地方的舞蹈院校在民間舞教學中，依據本地域的民族分佈情況、民間舞蹈形式和種類，建立起了具有地方特色的民間舞訓練體系，使其地域的民間舞蹈教材教學具有了典型性、訓練性和廣泛性。

	典型性就是要以本地域主要民族的民間舞蹈形式為訓練內容，以突出本地域和民族的藝術特色。像延邊、內蒙古、新疆、西藏等地的藝術院校，就要以朝鮮族、蒙古族、維吾爾族、藏族等民族舞蹈為主要教材進行施教。而遼寧省則是漢族和滿族的聚居地，其東北秧歌和滿族舞蹈必然是遼寧省具有典型性和代表性的舞蹈種類，故這兩種形式的舞蹈將成為民間舞訓練的主要教學內容和本地域的教材重點。這樣既突出了本地域的民族特色，又形成了各民族的典型教材。這對發展地域民族舞蹈文化和弘揚民族民間舞蹈，豐富完善全國民間舞教育體系起著非常重要的作用。

	所謂訓練性，就是在選編材料時要考慮到民間舞的訓練作用。通過訓練不但使學生具有豐富的表現力，而且更重要的是使學生能靈活運用身體各部位，地道地掌握各民族民間舞的動作和風格特徵，使其具有精湛的民間舞技巧和豐富的表現力。

	關於廣泛性，就是在考慮到典型的地域特色和系統訓練的同時，還要考慮到互補性和介紹性。既要使學生了解和掌握本地域的民族民間舞的表演技能和舞蹈風格，又要使學生熟悉和通曉更廣泛的民間舞蹈的藝術形式，以豐富他們的民間舞蹈文化，擴大知識面，這對提高學生的藝術素質有著重要的作用。

	總之，民間舞教學是舞蹈教學門類中一門重要的舞蹈學科，是培養專業藝術人才的必修課程。它不但是民間舞學科的主修課，而且也是諸如中國古典舞、芭蕾舞專業中的一門必修課和選修課。它已成為訓練學生表演和藝術風采不可缺少的教學內容。對此，如何將民間舞教學內容更好地傳授給學生，並使學生學會和掌握民間舞的表現手段，特點和規律就相當重要了。這就要求教師在教授民間舞課時，要根據民間舞的教學特點，按不同的專業，不同的對象採取行之有效的，優化的教學方法，把民間舞的動作，組合，表演特點和規律傳授給學生，這就是民間舞的教學方法。

"
9789577357151,"


	本書的基本立題點在於對形體訓練「方法」的深入研究，且題目中所提到的「方法」不同於以往基本功訓練中的「教學法」，主要以講解中國古典舞動作開法過程，動作訓練特點為主。本著作中提到的訓練「方法」主要包含兩層含義：（1）在中國古典舞形體訓練過程中，不僅要了解與掌握舞蹈演員技術技巧等身體基本素質能力訓練的科學理論及「方法」，而且要掌握塑造優美形體的科學「方法」；（2）在中國古典舞形體訓練過程中，不僅要實現基本功訓練的有效「方法」，而且在教育教學中，要實施對舞蹈演員「身心一體化」乃至人格培養的科學訓練「方法」。

	本書雖然涉及了不同領域的理論常識，但始終沒有脫離中國古典舞基本功訓練的宗旨與目的，而是以此為基礎，遵循著中國古典舞所特有的運動規律，探索與尋找中國古典舞基本功訓練的有效方法與途徑。作者在書的不同章節中，對常用的中國古典舞基本功訓練動作進行理論分析，使讀者更加清晰動作產生的原理與過程，從而達到舞蹈教學實踐理性化與感性化統一的飛躍，實現舞蹈訓練的科學化、完善化、系統化、理性化的全面發展。

	這份理論成果會給那些從事在舞蹈教學實踐第一線的工作者以及教學理論研究者們以很好的啟示與實踐指導；同時，希望本書會給那些不同領域的讀者以更多的關於舞蹈感性與理性的認識與解讀。

"
9789575387075,"

籍由彩色圖片及繪圖學習舞蹈，讓你享受無窮快樂一生。
                    
"
9789628929030,"

本書包括社交舞運動的基本理論知識(知識篇)、基本技術(技法篇)與教學法(教學篇)。知識篇：著重介紹標準社交舞的起源、發展及運動場地和器材設置的要求。規則篇：介紹競賽組織方法、裁判法及計分法。教學篇：分拉丁舞和摩登舞教學兩大類，將標準社交舞的十個舞種分章節介紹，並附有精確的真人示範、圖文對照，既能為標準社交舞愛好者引路，又為有志發展的組織者提供切實的幫助。希望本書能得到標準社交舞愛好者的歡迎，祝大家成功！
                    
"
9789574683031,"

去年的聖誕舞會，還不會跳舞的你，由於讀了本書，相信今年聖誕節，你一定可以擁有優雅的舞姿。而本來對跳舞完全畏足的人，如能在生活上享有放鬆的情緒，相信對其本人來說，亦是一種很好的事。為了維持健康或為了每天能夠明朗生動的過日子，我想跳舞對你而言，是有很大幫助的。不要說明天，請大家從現在立刻開始吧！ 

"
9789572833179,"

《輪舞》是奧地利劇作家亞瑟．施尼茲勒完成於一八九七的作品，為德語世界中第一個將性行為搬上舞台的劇作，完成後即遭到禁演，直到十二年後才獲准於祖國演出。全劇由十段對話組成，劇中人物五男五女，以類似圓舞曲交換舞伴的方式配對進行，每一場戲中，男女相見一段對話，接著發生性接觸，再一段對話結束會面，週而復始，最終形成一個圓。作者以優雅親和的寫實筆調描摹當時維也納社會道德墮落、情慾橫行的景況，並藉由不同階層的人際關係，細心刻畫了世紀末都市生活中各種背叛與扭曲的心理狀態。
                    
"
9789575524609,0
9789575383190,"

跳舞也是一種運動
　歐美人將跳舞列為禮教之一而十分重視。如禮儀上，或在社交上，他們特別重視跳舞，並在日常生活中培養各種禮節。尤其在親睦派對、慶生會、畢業式、結婚，以及各種聯歡會上，無不盡情歡舞取樂。

　有的人認為，跳舞是不易學好的，但，跳舞只要練好正確的基本者，並不是件很難的事。而且，練好了正確、美妙的姿勢之後，不但對美容、健康有好處，還可以當做一種運動來解除身心的緊張、疲勞。

　跳舞是隨著音樂來活動身體的極為自然狀態下的全身運動，而且，又可享受到最高的樂趣，而消化不少運動量。除此之外，可以視年齡或健康狀態而加減運動量、調節時間。還有，身材也會變得苗條、優雅，更可培養運動能力，如控制全身的感官、機敏性等，另也可以擴展人際關係、增進友誼而受益不淺。
                    
"
