ISBN,書籍簡介
9789577399922,"  
	坊間有關對聯的書，上焉者，深奧高雅，但難於瓣香學步；下焉者，膚淺俚俗，而缺乏研究價值。本書別開蹊徑，按其「言」數，逐章敘述。並就其平仄結構相同，有脈絡可循者，製成「聯譜」，俾初學之士，過目即悟，舉一反三。而其平仄結構獨異者，胥列為「別格」。所謂「別格」，乃別有風格之意。軼群脫俗，更宜取法。至若十三言以上，因變化大，句法錯綜，運用之妙，存乎一心。唯無論幾十言，或幾百言，其作法仍本諸四至十二言之聯譜，萬變不離其宗。簡練揣摩，自然能得心應手，游刃有餘。 "
9789862471500,"  
	本書特將婚喪喜慶、壽誕、開業、開工、新居落成、考試、升職、升官比賽等等，常使用的幛軸、匾額、中堂、禮額、獎盃、獎座、獎牌、錦旗、花藍、花圈、輓聯等題辭；以及常用的春聯、婚聯及壽聯等；最後收錄從訂婚至結婚的各個過程介紹與注意事項，以及媒人、長輩或賓客於結婚過程中，常說的吉祥好話，介紹給廣大的讀者認識，以供參考。 "
9789868839731,"  
	本「巧聯妙對打油詩」，乃筆者自啟蒙冠冕以來，近三十年中從古今經典裡，蒐集有關民間流傳且具幽默輕鬆，雅俗共賞之詩詞對聯。並分劃帝王將相、狀元進士、騷人墨客、才子佳人、凡夫僧俗、妙聯妙對等六大單元，加上筆者自己的一些主觀見解，把它們生活化、趣味化，而編輯成書。

	由於內容取材詼諧，能給讀者振奮精神，啟發智慧，作為生活上的一種調劑，使讀者品嚐後，令之捧腹。讓讀者更感如沐晨光與春風般的淋漓痛快。

本書特色

	《巧聯妙對打油詩》文辭優美、活潑俏皮、語意精練，可謂一般大眾學習傳統文化的知識庫之一。

	書中的巧聯妙對或對聯故事，無論其出於正史、野史，還是民間傳說，都極具知識性和趣味性。

	本書所選對聯故事也充分考慮到廣大讀者的閱讀需求，去粗取精、披沙淘金，在保證健康閱讀的前提下，可以使四海之內的中國人，感受到中國數千年來博大精深的傳統文化之美。 "
9789573614463," 詩詞和對聯都是中國傳統文化凝結而成的精髓，不論是對仗、詞性、平仄、押韻等，皆有一定的限制與要求。趣味詩在舊詩話中又被稱為「異體詩」或「雜體詩」，是文人閒暇時的自娛娛人之作。趣味詩和趣味聯相若，內容多為幽默調侃，語句詼諧而引人發噱。本書廣蒐了民間流傳的趣味詩文及精妙對聯，佐以詩聯的來歷及寫作根由，其中不乏蘇東坡、紀曉嵐、鄭板橋等各朝名人，俾使讀者在捧腹而笑之餘，也能體會詩聯背後的故事與涵義。 "
9789865936648,"  
除舊布新，從自書新春聯做起，
 吉言吉聯，給你新年好運連連！

  

 對聯有很多種，但從實用的角度講，春聯的使用面最廣。如何將最精華、最實用、最有韻味的春聯及壽聯呈現給廣大對聯愛好者，是我們編寫本書的初衷。

 天下名聯取精華，世間豪對選厚味。為了達到這個目標，我們對大量的自創春聯、壽聯和現實社會中流傳最廣的春聯、壽聯進行了篩選， 並在本書的編寫過程中，將常用的一些文書知識進行了簡單介紹，如請柬的寫法、對聯的貼法等，增強了本書的實用性。

本書特色

 本書注重「實用」和「大全」，不僅收錄年年可用的通用春聯，更為喜歡與眾不同的消費者提供依生肖分類的十二生肖春聯，可年年更換，年年不同，別出心裁。在編排順序上，全書更採用先短後長並按照筆畫多寡、類別清晰的方式，方便讀者進行查詢。 "
9789865636050,"  
	對聯文化，源遠流長，是由兩串字數相等、句式相同、平仄和諧、語意相關的漢字序列組成的獨立文體，多用來懸掛或黏貼在牆壁和楹柱上，表達人們的思想感情。千百年來，雅俗共賞，家喻戶曉，城市鄉村，幾乎不可或缺。

	 

	本書注重「實用」和「新意」，不僅收錄過往婚、喪、開業、喬遷等紅白事的輓聯與賀聯，更為喜歡與眾不同的讀者提供依節日、月份、職業、對象分類的特色賀聯與輓聯，以期在使用上顯出您的玲瓏巧思與真摯的祝福、哀輓之意。此外，本書採用先短後長、類別清晰的排列方式，方便讀者查詢。

	 

本書特色

	 

	天下名聯取精華，世間豪對選厚味

	新聯新意傳真情

	致輓賀喜不求人   

	千篇一律的賀喜輓聯

	真摯的祝福顯躍而出

	最新、最全面的實用對聯。 "
9789573613664," 丁榮凡教授費時十餘年，始編纂成本書。書中針對生難字、詞、句子及典故都有詳細說明，解析部分更注意體現該則對聯的思想性、時代性、藝術性、知識性、實用性等特點，務期使您深入瞭解其意涵。對聯最末並附有「用法」一欄，幫助您活學活用、舉一反三，以達本書之最佳功效！建議您閱讀本書時，可從頭至尾一則則品味，亦可按目次分類，選擇有興趣之主題細細欣賞；為方便檢索，每則對聯已編上序號，書末另按照筆畫順序，為本書一千一百六十八則對聯作了索引，相信在您有實際需要時，可助您一臂之力。 "
9789862470657," 對聯，可分為春聯、婚聯、壽聯、輓聯、堂聯、名勝古蹟對聯。春聯使用最早，其範圍最廣，因用於迎春而作，故名。舊時僅用於春節，多為祝福之語，現在用來述志抒懷。而隨著人們社會生活日益豐富，又逐漸推及到喜慶節日之祝賀或喪葬之弔唁用。 "
9789862470640," 對聯，可分為春聯、婚聯、壽聯、輓聯、堂聯、名勝古蹟對聯。春聯使用最早，其範圍最廣，因用於迎春而作，故名。舊時僅用於春節，多為祝福之語，現在用來述志抒懷。而隨著人們社會生活日益豐富，又逐漸推及到喜慶節日之祝賀或喪葬之弔唁用。 "
9789573609926," 「對聯」是中國文學所特有的藝術形式，本身富含的實用性與趣味性，使其得以流傳千載，經久不衰。「對聯」本身的運用層面相當廣泛，可以說明個人志向，或嘉勉友朋、或警喻他人；亦能用於喜慶祝賀，言簡意賅，雅俗共賞；集裝飾美與意境美於一體，充分顯示出個人的品味與涵養。本書共收錄了兩百多則對聯故事。循著歷史進程的軌跡，詳細解說對聯的特色、起源與發展概況。可說是一部簡要的中國對聯發展史，值得細細玩味。 "
