ISBN,書籍簡介
9789573275763,"


★全球銷量突破百萬冊

★亞馬遜網路書店藝術類第一名

★亞馬遜讀者4.8顆星盛讚

★風靡英、美、歐洲、韓國、日本

★從書衣、書封到內頁都可畫，書衣正反面都可彩繪成自己的作品，裱框掛起來裝飾

  

 打開這本書，你將會有如跳進兔子洞裡，發現自己置身於一個黑白的奇幻世界裡。

  

 這是一本互動的圖畫著色書，作者用美麗又細緻的黑白線條，創作出一個獨一無二的秘密花園，你可以在這裡隨興漫遊，塗上各種自己喜歡的色彩。賦予它們生命。

  

 這本書裡還藏有各式各樣的可愛小生物，等著被你一一發掘。此外，作者特意留下一些還未完成的細部，讓你來發揮創意，完成自己的版本。

  

 不論年紀大小，本書適合各個年齡層的讀者，在秘密花園這個繁複、細緻又美麗的世界，激發自己的靈感。

  

本書特點

  

 1.不但可以著色，也可以讓你直接創作

 2.可激發創意思考、獲得新點子

 3.具有抒解壓力與減緩焦慮效果

 4.各個年齡層都適合

 5.畫的同時讓人平靜、放鬆

"
9789869839341,"


【二版新增內容】

	1. 星系印記計算法

	2. 卓爾金曆
	 

關於卓爾金曆

	馬雅學家給了馬雅版的中美洲二百六十天曆法一個名稱：「卓爾金曆」 （TZOLKIN），這是依據猶加敦語（Yucatán）所建立， 引申意義為「日子的計數」（count of days）。 卓爾金曆從左上角開始起算，從上往下共二十個圖騰，每一個圖騰橫列裡 有一到十三個調性，所以形成了總共二百六十個Kin（一個Kin代表一天）， 而這張卓爾金曆，包含了整個宇宙與十三月亮曆最重要的密碼。

	 

宇宙綠格：銀河啟動之門

	卓爾金曆裡頭一共有五十二個綠色格子，遇到綠格子時，便代表了宇宙能量開啟的日子。銀河門戶（GAP，又稱銀河啟動之門）打開的日子，也就是綠格子那一天，會有來自Hunab Ku釋放出直接對頻的訊息，從宇宙源頭Hunab Ku釋放出電波，傳遞到銀河系、太陽系、太陽，再一路傳到地球，宇宙和地球的網格（grid）閘門會完全敞開，讓我們能夠直接收到精準的宇宙頻率。因此，綠格子的日子很適合靜心，畫Hunab Ku，直接與宇宙的能量對頻。我們又將綠格子稱為「宇宙綠格」。綠色代表宇宙，Hunab Ku的中間正好是綠色。因此，綠色在十三月亮曆的象徵意涵很重要，綠色也正好對應脈輪裡的心輪，所以綠格子也直接等於地球對應心輪的頻率。

	 

	文字摘自《星際馬雅13月亮曆》‧地平線文化

	★★★

	 

彩繪Hunab ku胡娜庫連結宇宙的源頭
	 

什麼是Hunab ku 胡娜庫

	Hunab Ku，中文稱「胡娜庫」，這是馬雅曆法──曼陀羅的圖騰，代表「宇宙源頭」的能量。它分成三個音節，各代表三個不同的訊息。 

	 

	Hu：Oneness 合一的意思，母親的能量與父親的能量合而為一，我們內在陰性與陽性能量合一。 

	Nab：Movement and Measure 測量的方式、移動的方式、或是一個法則。

	Ku：God、Lord、神、 神性，或者說是神性的道路。我們不是要成為神，因為神就在我們的內在， 我們自己本身就是神性能量的中心。

	 

	宇宙的法則即是神性的道路，就是讓自己合而為一，讓自己能夠把陰性能量與陽性能量合而為一。

	The term Hunab Ku, usually translated as One giver of Movement and Measure.

	It is the principle of life beyond the Sun.

	 

	（This phrase combines Mayan and Tibetan language as chanted by José Argüelles）

	 

	Hunab Ku胡娜庫是馬雅曆法裡面最重要的圖騰，是宇宙測量跟移動唯一的給予者（The One giver of movement and measure），直接連結到宇宙能量的源頭與核心。這是一個連結「0」這個數字、也是「空性」的法則，代表一切的歸零，回到源頭、空的法則，空也代表所有的一切！

	 

彩繪Hunab ku胡娜庫的好時機？

	1. 日常彩繪靜心：每天透過著色來做調頻校準，保持自身最佳狀態。

	2. 向宇宙下訂單：馬雅曆法當日的主印記(kin)遇上「宇宙綠格」的日子，銀河啟動之門將會大大的開啟，胡娜庫會釋放出大量的宇宙訊息，能量非常強大。就可以把心願寫在胡娜庫的旁邊，向宇宙下訂單。

	 

Hunab ku 胡娜庫顏色說明：

	依照順序：紅、白、藍、黃、綠，五個顏色也分別各自代表了不同的方向。

	1. 紅色代表東方：掌管火元素，象徵啟動、開始的力量，紅色的能量是在東方。

	2. 白色代表北方：掌管風元素，象徵淨化、單純化的能量，特別能有淨化功能，白色的能量在北方。

	3. 藍色代表西方：掌管水元素，象徵蛻變與轉化，藍色的能量在西方。

	4. 黃色代表南方：掌管土元素，代表收穫、結果的能量，黃色的能量在南方。

	5. 綠色代表中央：直接對應宇宙的中心，綠色中央的部份有一個螺旋，螺旋在靈性的意義代表陰性能量，代表地球母親的心臟、心輪、地球媽媽的子宮。

	 

	只要你願意，可以持續一段時間進行Hunab ku胡娜庫的彩繪與觀照內心的練習，觀察自己在圖畫上的改變、與情緒變化的對照，讓彩繪Hunab ku胡娜庫成為一個幫助自己的好工具與好習慣。

	 

"
9786263046528,"


	禪繞畫是一種不用任何基礎，只要拿起筆就能盡情享受的藝術活動。

	一張張美麗又看似複雜的圖樣，其實都是從最基本的點跟線條組成，因此只要有一支筆、一張紙，隨時隨地，只要慢慢一筆一畫，誰都能創作出獨一無二的作品。

	禪繞畫結合了禪的意境，在繪畫的過程中，我們的思緒會緩慢下來，眼睛跟隨著線條，漸漸集中精神在當下。這是一種放鬆自我的過程，也是具有心靈療癒力的創作方式。

	禪繞畫沒有對錯，也沒有所謂的優劣，你可以從已經開發出的基礎圖樣中自由運用，也可以不受拘束地發想全新的圖樣。

	一起拿起筆，開始享受禪繞畫樸實又華麗的世界吧！

	 

完全沒畫過畫的人，也能輕鬆享受

	本書從入門開始，手把手一步步解說該如何畫出第一張禪繞畫，並搭配大量步驟圖片，即使是第一次畫畫的人也能輕鬆上手。

白磚、黑磚、茶磚一次學會

	接著會教導初階、中階、高階的禪繞畫，從白色、黑色到茶色，循序漸進，學習豐富的圖樣與不同的作畫方式。

○○種豐富圖樣，搭配變化款示範

	讀者也可以在過程中發揮自己的創意與想像力，跳脫固有框架，掌握方法後畫出屬於自己獨一無二的藝術作品。

	 

本書特色

	 

	■初階、中階、高階，豐富內容一次收錄

	■完全不會畫畫的新手也能享受禪繞畫的樂趣

	■豐富圖樣、清楚步驟解析，帶你一筆一畫，創作屬於自己的作品

"
9789573286745,"


	★專門為讀者量身打造，克服不敢下筆的畏懼
	★特別研發24種「底線練習」，包含「格子底線」「交叉底線」與「行列底線」等獨家教學法 　　★另外涵蓋「一圖多變」、「二圖合一」、「三圖結合」等進階獨家學習法，清楚詳盡
	★附錄包含如何將創作投稿、工具，以及材料等讀者常常提出的問題　　累積超過100場、上千人次教學經驗　　台灣首位禪繞認證教師、也是最知名的禪繞畫老師──蘿拉老師　　特別針對讀者量身打造學習課程。　　蘿拉老師在本書中將用最簡單的方式，帶領讀者真正學會禪繞畫，不但奠定好基礎，而且循序漸進，自然而然進入禪繞畫的創作天地。禪繞畫是近年在世界各國最盛行的畫畫方式，不僅喜愛畫畫的人容易上手，即使自認為沒有畫圖細胞的人，也會驚訝畫出來的成果。除了有結構性，容易學習之外，因為重複畫，可以安定心神，在畫的過程中，會感到放鬆的專注，讓頭腦更清晰、心情愉悅。本書分為八章，先介紹禪繞畫由來、圖樣的產生、禪繞認證課程。接著帶領讀者做暖身練習，從基本畫法學起，進入蘿拉老師特別為讀者量身打造的學習課程。本書並特別含括了「一圖多變」、「二圖合一」、「三圖結合」等獨創教法，教導大家如何運用禪繞圖樣來創作。書中另外還介紹各地禪繞畫愛好者的創作，附錄則特別包括如何將圖樣創作投稿、以及如何準備用具與材料等讀者最常提出的問題。禪繞畫是每個人都學得會的畫畫藝術，既可以定心又好看，只要願意拿起筆開始畫，就會發現自己原來也是很會畫畫的！

"
9789573277279,"


全球知名暢銷書《祕密花園》、《魔法森林》作者最新力作！
 特別附有8面精緻對開長拉頁

  

本書以美麗細膩的筆觸，帶領你前往海底世界，展開魔幻旅程！


 喬漢娜‧貝斯福最新作品《迷幻海洋》，要邀請讀者一同探索迷人的海底世界。

  

 在讀者為一幅幅細緻的黑白圖畫上色、添加細節的過程中，會看見色彩斑斕的魚群、樣貌奇特的章魚、細膩描繪的海馬；還可以拜訪珊瑚礁與布滿藤壺的沈船，或是挖掘小巧玲瓏的貝殼、海盜遺留的寶藏。

  

 一如《秘密花園》與《魔法森林》的互動性設計，本書每一頁都藏有許多小物品，像是寶石、皇冠，邀請讀者一邊畫，一邊在這個充滿神奇的海底世界中找找看！

  

 喜歡喬漢娜‧貝斯福作品的粉絲與新朋友，歡迎一起來進行這趟激發創意與靈感的海洋新世界旅程。

"
9789573275688,"


亞馬遜網路書店藝術類第一名

  

收錄最美的曼陀羅圖案！

舒壓、放鬆，拿起筆，心就安靜了

  

 曼陀羅（Mandala）一詞源自於梵文，意思是「圓」，為印度教與佛教的一個象徵，代表宇宙及宇宙的能量。

  

 在西方，心理學家榮格曾發現，曼陀羅對現代人的心靈與自我實現有特殊意義。

  

 而藉由為曼陀羅著色，可以讓紛亂的思緒平息，舒緩壓力，釋放負能量，讓身心放鬆與平靜，同時在手畫著充滿創意的圖形之際，又可以提升專注力。

  

 本書收錄了美不勝受的曼陀羅作品，各個時代的藝術家都非常讚賞，也激發許多靈感。書中的圖形從簡單的到繁複的都有，你可以依照心情，選擇當下喜歡的圖樣及畫畫用具，沒有任何限制，只要畫上顏色，簡單又容易完成！

  

 現在就運用你的創造力與想像力，將這些美麗的圖形畫上顏色，讓心寬廣起來，感受到內在美妙的平靜！

  

本書特色

  

 ★簡單、容易完成、成就感高，最適合初學者

 ★有任何沒有畫筆的限制，各個年齡層都適合

 ★包含簡單與複雜的圖形，可以隨心情選擇

 ★大開本、150磅紙張，厚實不會透色

 ★只要每天5-15分鐘，即可達到抒解壓力的效果

 ★啟發創造力、提升專注力，同時又讓心情放鬆

 ★畫的同時，也讓心沉澱、平靜

"
4710415383471,"


	英國插畫家 Tom Parker 台北地圖著色畫

	【關於Tom Parker】
	台灣新住民・英國插畫家Tom Parker（湯姆帕克），從小就喜歡畫圖，並且特別喜歡畫迷宮、地圖，來到台灣後已經先後完成《我的台灣味》、企鵝逛夜市的《Taipenquins》拼圖，也曾為「告五人樂團」的巡迴演唱會繪製《城市地標》系列圖。《台北地圖》是耗時一年的作品，希望獻給台灣作為禮物。未來也會持續進行台南地圖的繪製，以及其他台灣相關的作品。

	【關於台北地圖著色畫】
	《台北地圖》是英國插畫家Tom Parker耗時一年取材構思、實際走訪、一筆一畫所繪製的，紀錄了 Tom 對城市的日常觀察與生活點滴，作品中包括101大樓、故宮、龍山寺、新生公園、新北投捷運站、動物園等各大觀光地標，雖說沒有辦法真的把每一座建築物都放進地圖中，使得這幅作品更像是「台北印象」，但是建築的方位、形狀，個區塊的比例等，都盡量符合現實，並且參考空拍圖與其他資料來確認細節。《畫我最愛的台北城》就是「台北地圖」還未上色前的模樣，這份「著色圖」邀清所有人來一起創作，每個人都將擁有自己的《台北地圖》，豐富《台北地圖》這個作品。


	【76*104公分台北大地圖 尋找最有特色的城市景物！】

	 

	這裡到處都有豐富多元的故事，
	你找到你家在哪裡了嗎？
	還有還有，你找到穿山甲了嗎？
	裡面有好多隻藍鵲，你發現幾隻？

	 

	✐一張地圖 認識一座台北城✐
	結合地理方位／趣味性／故事性

	 

	⁂可結合認識家鄉課程，增加體驗活動，從做中學產生感動認同⁂


	【內容簡介】
	★畫我最愛的台北城地圖★
	一張可以畫、可以玩、可以互動的紙上著色地圖
	2張著色明信片（局部）+4張彩色特藏版書籤
	不怕待在家太無聊、不怕長途交通沒事做
	更能結合學習、提升著色樂趣!!


	【本書特色】

	1.好好玩1：一個人上色，兩個人上色，全家一起上色，不管是自己畫還是給小朋友畫，全家都能優雅進行著色活動！
	2.好好玩2：找一找，除了著色以外，你有找到穿山甲嗎？你有找到藍鵲嗎？路上有幾輛摩托車呢？
	3.好好玩3：著色明信片讓你在旅途中也能完成一小幅台北地圖，更能寄送給朋友表達想念！
	4.⁂好好收藏：4張獨家彩色特藏版書籤，陪大家一起好好閱讀！⁂

"
9789573284390,"


★特別研發「萬花筒」全球獨家畫法
★30個範例說明、步驟式分解示範
★9種壓線圓磚畫法、5種空白圓磚畫法，絕對上手
★包含茶色圓磚、色鉛筆、水彩筆等彩色禪繞畫法
★收錄如何發現圖樣與延伸應用作品
	 
	台灣知名禪繞畫認證老師----戴安老師
	特別針對已有基礎的讀者設計禪繞進階練習！
	 
	圓形禪繞畫是禪繞畫的進階畫法，為禪繞藝術創辦人芮克從西藏的曼陀羅藝術獲得靈感，並特別開發出圓形紙磚，因此圓形禪繞畫又稱為「禪陀羅」。
	 
	由於曼陀羅的圓形形式，以及其中出現的幾何圖形，與禪繞畫的本質接近，因此兩者很自然地結合，創造出禪繞畫的另一種呈現方式。而圓形禪繞畫可以不講求對稱，完全可以自由發揮。
	 
	本書共分為八章，主要以30個範例、以步驟式分解畫法，介紹圓形禪繞畫的畫法。除介紹圓形禪繞畫由來、材料與工具外，本書特別收錄戴安老師全球獨創的「萬花筒」應用畫法，以及9種壓線圓磚畫法、5種空白圓磚畫法。
	 
	書中另外介紹茶色圓磚、色鉛筆、水彩筆等彩色禪繞畫法，以及如何在日常生活中發現禪繞圖樣與禪繞延伸創作。
	 
	圓形禪繞畫雖然較為複雜，但是每次畫出來的結果都會帶來意想不到的驚喜，既可以定心又好看。因此只要願意拿起筆開始畫，不但可以達到「放鬆的專注力」，在過程中獲得平靜愉悅，也會發現自己原來是可以成為藝術家的！！

本書特色

	本書作者為知名的禪繞畫認證教師，戴安老師，她在本書中會以步驟式分解圖，示範各項圓磚畫法，以及她獨創的「萬花筒」畫法，還有其他彩色應用畫法。

"
9789573279167,"


聖誕樹、薑餅人、雪花、馴鹿，
《祕密花園》作者邀請你一起來過聖誕節！

	 
	掛滿各種小裝飾品的聖誕樹、用美麗的冬青與長春藤纏繞做成的聖誕節花環，還有堆成像山一樣高的禮物！《秘密花園》作者在這本最新作品中，歡迎大家一起來為這個美麗的節慶增添繽紛色彩，帶來聖誕節的溫馨氣氛。
	 
	從緩緩飄落的細緻雪花，到精心裝飾的薑餅屋、柺杖糖，還有馴鹿拉的雪橇，本書邀請各位拿起自己的色鉛筆或畫筆，來為聖誕節的物品塗上色彩，讓它們栩栩如生，一起來慶祝美好的聖誕節。
	 
本書特色

	★ 全書使用170磅德國進口美術紙，不會滲色
	★ 特別附有試畫頁面，可以先在上面試色
	★ 每頁都可單獨撕下，塗色後即成為獨立的作品
	★ 收錄各種聖誕節的圖案

"
9789861794235,"


★最適合送給親朋好友的暖心禮物書★


	撕下一張又一張，框成照片或寄給朋友吧！
	32張精選的療癒明信片，年末時刻親手畫一張明信片，寄出最深的祝福！

	每天畫一點，舒壓著色滿足味蕾
	藉由專屬於我的療癒美食，排解壓力！
	透過自由揮灑的繽紛色彩，塗滿明信片傳達心意！

	感恩節→送上餡料滿滿的漢堡與眞摯的感謝！
	聖誕節→著色之前，想想要和朋友家人們吃什麼樣的聖誕大餐呢？
	2016年新年快樂→一年即將過去了，寫下開不了口的情話、新年新希望，
	與家人、情人、朋友一起分享自己最喜歡的食物！

本書特色

	獨一無二的美味亮點：
	★韓國人手一冊
	★特殊膠裝設計，撕下後馬上變成明信片或裝飾品，完全不會損傷書本。
	★在包羅萬象的各國料理，塗上自己滿滿的心意。
	★選用比韓版更厚、更好上色的紙張，寄出最深厚的祝福。
	★輕薄好攜帶，走到哪畫到哪的輕巧塗色書。

得獎記錄

	★韓國藝術類排行榜第二名

"
