ISBN,書籍簡介
9789864894062,"


史丹‧李開創了漫威宇宙，

美國終於有了自己的神話。

	 

	鋼鐵人、復仇者聯盟、蜘蛛人、X戰警……

	這些在21世紀席捲全世界電影票房、成為普世「文化Icon」的超級英雄，

	全都誕生於20世紀中葉，出自史丹‧李主導的漫威公司（MARVEL）創作團隊。

	史丹‧李是誰？

	他不只是「漫威之父」，更是21世紀全球影響力最大的娛樂、大眾文化創造者

	 

	超人、蝙蝠俠、浩克、蜘蛛人……象徵哪些西方歷史、文化的人物與思想？

	漫威英雄具有什麼特殊價值，連大導演費里尼、亞倫雷奈都折服於史丹．李一手打造的美國新神話？

	美漫怎麼在史丹．李的手中影響美國人的價值觀、從二流文化晉升為美國文化輸出全世界的重要媒介？

	　

史丹．李——不只是「漫威之父」

●率先打破傳統英雄公式，以充滿人性的超級英雄開創美國神話

	在二十世紀四○年代的美國，任何為漫畫寫故事的人，都得在超人和蝙蝠俠這兩大角色的陰影下掙扎前進。然而，不斷重複這種「高空俯衝、拯救眾生、功成身退」設定、超凡脫俗的人類救星，對於寫故事的人來說是有趣的角色嗎？

	 

	史丹．李對此抱持懷疑的態度。他不是讀DC漫畫《超人》和《蝙蝠俠》長大的，而是狄更斯、馬克吐溫等人的文學作品。他想寫的是那種描寫複雜的人物在各式各樣情感中掙扎的故事，從小就夢想著要寫出一部「偉大的美國小說」留名青史。他聽從自己的直覺，走上不一樣的英雄提煉之路，讓漫威所有的英雄具備有趣鮮明的個性，說起話來就像現實生活中的人一樣——像你我一樣不完美的真實人類。看DC的英雄，你看的是神；看漫威的英雄，你看的是人。

	 

史丹．李——像鮑布．迪倫一樣的藝術家

●讓作品成為巨大的文化畫布

	漫威的世界充滿了強大卻帶有缺陷的生物，而這個世界的創造者史丹．李，是否試圖向讀者展示什麼精神境界的寓意？抑或，故事背後並未蘊含更宏大的訊息，只有色彩斑斕的畫格、通俗易懂的文字，還有永遠戰鬥不休的酷炫人物？

	 

	每當有人問起史丹．李某個角色或某個情節的真正含意，他會迴避正面回答，就像另一位猶太裔藝術家鮑布．迪倫一樣，只是將一切交給讀者，任他們發展出自己的意見與看法。他的漫畫和鮑布．迪倫的歌曲一樣，都成了巨大的文化畫布，只要是對他們的藝術形式感興趣的人，都可以在畫布上面描繪自己的解讀。

	 

史丹．李——讓共同基本信念凌駕分歧之上

●以責任感取代救世主理論，揭示美國與世界最需要的進步模式

	史丹．李相信：不論多麼聰明、多麼善良、多麼勇敢，都沒有人能夠將整個世界的重擔扛在自己的肩上。隨著每一部漫威電影的上映，人們對這個宇宙的認識也越來越深入。雷神索爾、美國隊長、復仇者聯盟、蟻人、奇異博士、星際異攻隊和黑豹……儘管這些英雄在語氣、風格、在意的事物等各方面有千差萬別，但他們對於大眾、義務、責任感和同情心，都擁有相同的基本信念。

	 

	漫威電影的宇宙似乎在暗示，如果連美國隊長和鋼鐵人這兩個驕傲、強大的莽漢，都能領悟到他們都在為更遠大的目標服務，並將彼此巨大的分歧放在一邊，那麼全世界的人也做得到。

	 

你從來不知道漫威的故事暗藏這些典故、原型
	 

●漫威超級英雄與《塔木德》經典

	「美國隊長」史蒂夫．羅傑斯的過去沒有任何創傷。讓他成為美國隊長的唯一原因，只是想為國家盡一份責任的渴望。他這種以公共利益為導向的世界觀，與蝙蝠俠的唯我論截然不同。和蝙蝠俠、超人不一樣，美國隊長並不孤單，因為驅使美國隊長展開行動的並非基督新教的救世主理想，而是截然不同的神學概念：猶太教思想。

	 

	不同於基督新教，經典《塔木德》描繪的猶太末世論，不等待神聖生物從天而降來修復殘破、混亂的一切，而在提醒它的子民：如果他們在地球上共同努力奮鬥、相互理解與扶持，將很快能夠獲得自由，迎接彌賽亞／救世主的時代。

	 

●漫威超級英雄與猶太文化原型

	例如《驚奇4超人》裡的「石頭人」就像猶太教中的「魔像」，是以黏土塑成、可以自由行動的人偶，不僅身體強壯，精神上也具有強大的威力，是為保護猶太人免受迫害者威脅才創造出來的生命，而石頭人也扮演著類似的角色。「驚奇先生」理查茲則是處於猶太文化神秘主義傳統中的「附鬼」狀態。除了他對知識追求的執迷、狂熱有如被遊靈附身一般，在《驚奇4超人》最受歡迎的一期漫畫中，他更被大反派「末日博士」附身，成為後者從內部摧毀驚奇4超人的棋子。

	 

	《不可思議的浩克》的故事起點是一位科學家憑藉自己的創造力將自己變成了怪物，同時具有綠巨人與科學家班納兩個身分，就像《舊約聖經．創世記》裡的兩個亞當。身份分裂的浩克所面對的核心問題，讓仍在努力理解生命意義的年輕人著迷、充滿興趣，因為他的故事在探討孤獨的議題。它在問：當你不願屈服於孤獨的重量，不想接受你不僅無法認識身邊的人、連認識你自己都是場艱苦戰鬥的時候，你該如何在這個世界上奮戰下去？浩克的故事觸及了現代人困境的本質：孤獨。

	 

	《驚奇蜘蛛人》的主角彼得．帕克讓「能力越強，責任越大」這個出自《聖經》的理念引起廣泛迴響，成為美國文化的主要價值觀，連前總統歐巴馬都要引用。「蜘蛛人」不只是另一個試圖了解超人能力之複雜性的超級英雄，他是一個學習讓自己更具人性的年輕人，更是某位《聖經》人物的直系後代，那就是該隱。

	 

	該隱是精神上的流浪者：他不想犯罪，但會屈服於誘惑；他想悔改，卻覺得自己做不到；他感知到神聖的召喚，但沒有回應——就像彼得．帕克一開始想靠著自己的超能力營利，又因為迴避自己的責任而導致養育他的叔父死於盜賊之手……

	 

人類不需要救世主，而是需要了解自己的力量、理解彼此
	 

	從20世紀中葉一直到2018年去世之前，史丹．李與他身邊的漫威藝術家，從不曾擁護極端主義和二分法。對真實的人類來說，「將世界一分為二」太過危險、極端。他們創造了一個世界，人們在當中所能期望的最美好事物，不是等待穿著緊身衣的神現身拯救自己，而是靠人們互相艱苦地攜手合作，讓生活變得更美好一點。這群猶太藝術家透過作品提醒讀者，運用過多的力量、擁有過度的信仰，是一枚奇異多變硬幣的兩面。他們一手打造的漫威世界要告訴世人：如果「救贖之路」真的存在，要通往這條道路，需要的是謙卑、友善和犧牲，而不是傳統漫畫中那種萬能超級英雄具備的特質。

	 

本書特色

	 

	1. 華文世界第一本翻譯出版的「漫威之父」史丹．李傳記

	2. 耶魯大學出版社叢書，揭秘史丹．李本人不說、漫威宇宙背後的文化意義

	3. 「漫威」漫畫迷、電影迷深入漫威宇宙的唯一指南

	 

名人推薦

	 

	YouTuber－超級Y

	台灣影評人協會理事長－膝關節

	《通靈少女》導演暨《遺憾拼圖》編劇－劉彥甫 

	 

"
9789863597506,"

我想藉由這些反派，讓人知道與善對立的並不是惡，而是對於惡的無知。書寫電影反派的經典暢銷作，從選材到寫法同樣吸睛。全新收錄一篇新序與四篇新作：《計程車司機》的崔維斯、《血色入侵》的艾莉、《寄生上流》的奉俊昊美學與2019年的《小丑》。影評人聞天祥形容馬欣，「她擁有一種讓暗黑折射出光的能力」，擅長探索電影背後的社會文化與集體意識，融合電影專業與文學筆觸，觀點犀利獨到。她的第一本電影書《反派的力量》是書寫電影反派的經典之作，從選材到寫法同樣吸睛。內容書寫半世紀以來東西影史上，30位深具影響力的反派人物與黑暗故事，映照出光明（正派）背後的虛偽，不但探索電影背後的社會文化與集體意識，也深刻剖析人性，讓我們在失控的正向思考中，保持清明的腦袋與眼光。  ◎ 收錄影評人膝關節、五月天瑪莎兩篇推薦序◎收錄經典的反派人物《黑暗騎士》小丑、《沉默的羔羊》人魔漢尼拔、《教父》麥可．柯里昂、《鬼店》傑克．托倫斯、《驚魂記》諾曼．貝茲、《星際大戰》黑武士、《X戰警》萬磁王、《香水》葛奴乙、《嫌犯X的獻身》石神哲哉、《原罪犯》吳大秀、《惡童日記》路卡斯與克勞斯、《天才雷普利》湯姆．雷普利、《魔女嘉莉》嘉莉．懷特、《險路勿近》安東．奇哥、《駭客任務》史密斯特工、《鬥陣俱樂部》泰勒．德頓、《雷神索爾》邪神Loki、《告白》森口悠子、《發條橘子》艾歷克斯、《渴望》藤島加奈子、《阿瑪迪斯》薩列里閣下、《模仿犯》網川浩一、《白夜行》桐原亮司、《火線追緝令》約翰．杜、《終極追殺令》諾曼．史丹菲爾、《控制》愛咪．鄧恩……
                    
"
9789869346450,"


6 位當代導演 ✕ 6 個議題關注 ✕ 6 位作者深入剖析

	帶你進入《水底情深》、《愛在日落巴黎時》、《底特律》、《輝耀姬物語》、《普羅米修斯》、《紅玫瑰白玫瑰》六位導演的偏執狂世界。

	 

釀電影的第一本正式刊物

	這是影評媒體《釀電影》的第一本正式雜誌，自2017年7月創刊以來，《釀電影》的曝光大多以網站為主，每個月十多篇影評文字，搭配線下一系列講座與放映活動，已然成為一個備受讚譽的品牌。這本創刊號則是集結了深刻撰寫的新專題與平台上的文章精選、搭配豐富的人物訪談與對寫，是一本影評雜誌，更是一本文學刊物。

	 

隨書附贈【臺北藝術戲院週邊美食地圖】

	看完電影總是飢腸轆轆，卻不知道該去哪填飽肚子嗎？
	當視覺、聽覺與心靈都獲得滿足後，味覺也該好好犒賞一番！

	釀電影精心整理，獨家搜集戲院周邊美食，讓影痴看完電影後不再餓肚子！

"
8667106508100,"


一次完整收藏！馬欣最受歡迎的電影文字。


	資深影評人聞天祥：「她擁有一種讓暗黑折射出光的能力。」馬欣擅長探索電影背後的社會文化與集體意識，融合電影專業與文學筆觸，觀點獨特。

	「馬欣的電影處方箋套書」包括三冊：《反派的力量》、《當代寂寞考》、《長夜之光》。

1.《反派的力量：影史經典反派人物，有你避不開的自己》
	每個人心中都有一個反派。

	為什麼寫反派？
	馬欣：「黑暗面就像人心的儲藏室，每個人都有那部份，不清掃、漠視它，遲早黑暗會淹沒過來，那跟「失控的正面思考」一樣，你逃避的，它不會消失，總有一日會撲將上來。我盼望，那些電影裡反派的人生，或許能給人與社會一點反思的力量。」

	反派角色近年成為好萊塢電影產業重要的商業賣點，反派越惡形惡狀，電影越吸睛。影評人馬欣首部作品《反派的力量》，書寫50多年來（1960-2014年）東西電影史上，26位深具影響力的反派人物與黑暗故事，映照出光明（正派）背後的虛偽，不但探索電影背後的社會文化與集體意識，也深刻剖析人性，讓我們擁有反思的力量，在失控的正向思考中，保持清明的腦袋與眼光。
	   
	◎經典反派人物
	《黑暗騎士》小丑、《沉默的羔羊》人魔漢尼拔、《教父》麥可．柯里昂、《鬼店》傑克．托倫斯、《驚魂記》諾曼．貝茲、《星際大戰》黑武士、《X戰警》萬磁王、《香水》葛奴乙、《嫌犯X的獻身》石神哲哉、《原罪犯》吳大秀、《惡童日記》路卡斯與克勞斯、《天才雷普利》湯姆．雷普利、《魔女嘉莉》嘉莉．懷特、《險路勿近》安東．奇哥、《駭客任務》史密斯特工、《鬥陣俱樂部》泰勒．德頓、《雷神索爾》邪神Loki、《告白》森口悠子、《發條橘子》艾歷克斯、《渴望》藤島加奈子、《阿瑪迪斯》薩列里閣下、《模仿犯》網川浩一、《白夜行》桐原亮司、《火線追緝令》約翰．杜、《終極追殺令》諾曼．史丹菲爾、《控制》愛咪．鄧恩……

"
9789865540517,"

資深影評人梁良曾任多屆金馬獎、電視金鐘獎、優良劇本徵選的評審委員，電影是他畢生的熱情所在。在疫情這一年多期間，他每週從當週的時事出發，將新聞熱點延伸到電影來談論、發揮，寫成了《台灣醒報》上「梁良談影」專欄的五十多篇文章，經過全面整理後，於此書結集。長年從事影評寫作、編劇、編輯、出版及教學等相關工作，梁良對時事與電影的交互評論，記錄、呈現了這一年來台灣乃至國際局勢的變化、疫情對台灣電影市場以及全球電影產業的影響；影視界五十年的資歷淬煉了他一雙觀影的眼睛，看這「計畫跟不上變化」的世界、「人生如戲、戲如人生」的時代，令人驚覺：當人生道路跟多采多姿的電影世界相通，就是「條條大路通電影」！另收入梁良悼念金馬獎特別貢獻獎得主黃仁先生的長文，共同懷念電影產業以及電影史上里程碑一般的前輩。
                    
"
9789571391663,"


幽暗的黑盒子，能通往最斑斕迷人的夢境

電影，就是內在宇宙的鑰匙

	 

	深愛電影，也認真看電影，為不負影院裡的流連時光，影癡男孩彭紹宇提筆寫下這本私人觀影筆記。曾受邀書寫多個觀影專欄，他的觀看範疇豐富多元，對影視動向、時事議題擁有敏銳的觀察。他的文字則具敏感共情的性格，擅於捕捉人物間埋藏的幽微互動，憐惜故事背後勾勒的細密情思。《黑盒子裡的夢》收錄了四十篇觀影筆記、兩本書的閱讀心得，以及兩篇影視產業現況分析。這是彭紹宇的第一本書，也是電影之愛的具象示現。

	 

	★從南韓商業類型片《一九八七》到歐洲藝術片《痛苦與榮耀》，從切合全球政治的《個資風暴：劍橋分析事件》到台灣新導演作品《返校》、《怪胎》、《蚵豐村》，同時不忘涵納近年廣受好評的《婚姻故事》、《機智醫生生活》、《刻在你心底的名字》等話題之作！

	 

	全書分六輯，輯一「說出來，才不會遺忘」，以南韓政治電影開篇，再帶到台灣的《返校》，直書藝術與人類歷史的深刻連結。電影是忠實反映時代的紀錄切片，也能成為社會前進的有效推力！輯二「追尋自我漫漫長路」，描繪不同世代應對人生千奇百怪的排列組合，或屈服或反抗，我們如何從他人的生命故事找到療癒自己的能量？輯三「影像，是映照現實的哈哈鏡」，關注資本主義社會的階級角力，看見差異與壓迫，並勇敢提問：生活難道是一齣「沒有小丑的喜劇」、「沒有反派的悲劇」？輯四「家庭群像，社會眾生相」，一探家庭親情複雜的難言滋味，愛與理解是每個人一生的功課。輯五「愛的千百種模樣」，則與角色展開對話，談論愛是怎麼一回事。愛情是深刻雋永的史詩，是漸漸熟成的杏桃，是兩人攜手從黎明漫步至午夜，也可以是心底一句無聲的祝福。輯六「在這個不被善待的世界裡」，書寫疫病蔓延的社會，人們如何克服內心的恐懼，在社會中找到適切的位置，善待彼此。此外，書末特別收錄「改變中的巨人」，藉《寄生上流》及《國際橋牌社》做出兩篇影視產業分析，企盼為台灣影視找出兼顧故事與市場的借鑑途徑。

	 

	「電影的發明使我們的人生延長了三倍。」楊德昌在電影《一一》裡這麼說。彭紹宇則說：「走出電影院，我就與自己有一部電影的不同。闔上一本書後，我也與自己有一本書的差距。」於是男孩一次次走入電影院展開探索人生的時空旅行，那幽暗的場域，能迸生最斑斕的夢境。書名的「黑盒子」既指電影院，也似飛航紀錄器，見證了觀影者在故事中的無盡追索。翻開這本書、參與飛行的我們才知道，原來故事裡頭追逐的每一道身影，皆是自己。電影，就是通往內在宇宙的那把鑰匙。

"
9789571389073,"


鏡頭與劇本中「再現」的臺灣，是想像？還是真實？
	是無心塑造？還是有意構築？

	 

	本書探討當代香港與大陸影視作品在長達半個多世紀的時間中，如何透過鏡頭凝視與劇本書寫，建構臺灣與臺灣人的形象。臺港中三地政治分割長達逾半世紀，各自形成不同的文化與創作風格，加以個別官方意識型態的霸權宰制，框架了三地影視題材與方向。這種人為的阻隔，讓兩岸三地有很長一段時間都必須隔著好幾層紗在觀看彼此，進而產製了不少帶有刻板印象的作品；換言之，臺港中都各自為彼此建構了所謂的「他者」，這些被想像、被生產、甚至是被發明的他者，其實是再現研究上饒富理論與旨趣的主題。


	1990年代以後，隨著兩岸關係的解凍以及香港1997年的回歸，臺港中的民間社會展開實質接觸互動，影視人同步展開頻繁交流，透過影視作品對彼此的凝視又推進到全新的階段，經過實際接觸與交流所產生的刻板印象與互文性，也大幅影響兩岸三地的電影創作，若干在影像語言中作為彼此凝視所生產、建構的他者，同樣具有很大理論與研究旨趣，而香港與大陸之間的跨境再現研究，其實已累積了相當多的學術文獻，但港臺與兩岸間的跨境再現，特別是「臺灣再現」這個領域，卻是一個很大的研究缺口，作品稀少固然是其中主要的因素，但即便是少數作品仍有很大的論述空間，本書即是針對相關華語影視作品中涉及這個相關主題的文本進行論述分析，嘗試補足這個缺口。

	 

從影視作品識讀政治──香港與大陸的電影、電視劇如何凝視臺灣？如何建構臺灣意象？

	 

看本書精闢分析──
	►從偉人建構與傳記電影，談1980年代兩岸「孫文形象」之再現
	1986年兩岸同步拍攝孫文傳記電影，敘事觀點卻截然不同，官方政治立場是如何從電影鏡頭再現「一個歷史，兩種史觀」？
	►從認同、黑道敘事與臺灣政客形象，談港產電影的「臺灣政治」再現
	香港經歷1997年的回歸的同時，臺灣正邁入政治結構變動最劇烈的年代，「黑幫電影」集中再現的黑金掛勾、幕後交易、收編背叛等，有多少是臺灣的政治現狀？
	►從香港凝視，談1960年代香港電影中的臺灣原住民
	透過漢人男性／原住民女性的二元對照，影視作品時常以扭曲、拼貼、刻板印象化的手法再現漢人觀點的「異族奇觀」，觀眾觀影時應如何發現？
	►從陸劇《原鄉》，談再現的臺灣警備總部與眷村老兵
	一部以臺灣老兵返鄉探親為題，卻從未在臺灣播映的電視劇，負面的警總形象雖確有其背景，但與當時的社會現狀真的相符嗎？
	►從身分政治與撒嬌論述，談大陸電影《撒嬌女人最好命》中的臺灣女性
	撒嬌女的身分設定，為何總是臺灣女性？是「臺灣腔」的原罪？還是某種政治型態下的想像？

"
9789574459070,"


1991年蔡明亮在台北遇見李康生

小康成為了蔡明亮電影永遠的主角

小康的臉對蔡明亮的意義是什麼？

如果沒有李康生的臉，蔡明亮的影像面貌是否還會如此獨特？

	 

	蔡明亮的存在是個獨特的現象。他是個異鄉人，來到台灣求學、定居、開始拍電影。他的電影只有一個主角、只有一張臉，看似限制了他，卻又矛盾地給了他自由及無限可能。藉由蔡明亮的課堂講稿、各階段的訪談、劇本、畫作、文字等等，《影像即是臉》記錄下蔡明亮尋找一張「影像之臉」的過程，也探問了「蔡明亮何以成為蔡明亮？」

	 

	這本書並不想要以蔡明亮的電影為單位去分析，或定義他的影像在哪種框架下象徵了什麼樣的意義，純粹只是從一個影迷與學習者的角度，由自身的困惑出發，試圖理解他的創作核心，再往下繼續尋找蔡明亮這個「人」的核心。

	 

	為什麼他的電影採取了那樣的表現方式？

	為什麼永遠是李康生？

	這傳達出蔡明亮的什麼？

	藉由影像，在提出問題及尋找答案的過程中，或也能對自身提問，找到解答。

	 

本書特色

	 

	1. 從觀影者角度出發，真誠地向蔡明亮電影提問

	2. 專章討論李康生在蔡明亮電影中的涵義

	3. 從早期電影起，到後期影像作品、舞台劇與裝置展，以縱觀的方式討論

	4. 結合藝術史、文學、影像理論、精神分析等面向的切入角度

	 

"
9789865575021,"


	四位作者在人生不同的階段遇上不同的電影及書本，投進了不同的世界之中。有的是一場心靈歷練、有的是一場心靈修行、有的是一場心靈啟悟。

	 

	同一幕的電影同一段文字或許你與我也看過，也許沒有在你心裡牽起半點漣漪，但可以在別人心中卻有著翻天倒海的思潮起伏也說不定。

	 

	電影與作者的感覺相呼應，交織出另一重的意義與作者點點滴滴內心世界。

	一本書一次異域世界的旅程讓作者帶你一起同遊，導航你沒有想像過的世界吧。

	 

"
9789869915809,"


電影是對話的起點，

也是理解人權議題的可能路徑。

	  

	《電影裡的人權關鍵字》系列手冊由國家人權博物館與富邦文教基金會共同策劃。以不同類型的電影為文本，爬梳其中觸及的人權議題，整理成關鍵字，進而展現身處此時的台灣，我們如何以電影作為透鏡，觀察這些關鍵字與己身的關係。

	 

	例如，透過關鍵字「尤太大屠殺」，可以瞭解在二戰期間，「納粹」如何對待尤太人？從反尤主義到建造「集中營」，直至最終解決方案，納粹德國如何利用系統性、全面性的手段進行種族滅絕……當我們朗朗上口「邪惡的庸常性」時，卻未必對納粹如何迫害尤太人有清楚的認識，本書經過蒐集、消化相關研究資料，再以清楚易懂的文字呈現出來，不僅讓人更瞭解「尤太大屠殺」也藉此瞭解什麼是人權、轉型正義等相關議題。

	 

本書特色

	 

	★從電影裡看見人權議題，結合影像與人權教育。

	★隨書附贈：giloo 紀實影音 7天免費線上觀影序號！《借問阿嬤》、《第六十九信》

	★每個關鍵字都附提問與教學提示，適合教學使用。

	★手工裝禎，讓每個關鍵字好找好翻。

	★相關閱讀：《電影裡的人權關鍵字：第六十九信》、《電影裡的人權關鍵字：超級大國民》、《電影裡的人權關鍵字：雨季不再來》。

	 

"
